src,dst,relation
phishcamp-ffb98a9522,https://xn--pple-43d.com/auth/session/review,delivers_url
phishcamp-f4653605d7,chase-support.co,uses_domain
phishcamp-f4653605d7,https://chase-support.co/portal/update,delivers_url
phishcamp-3eb856c052,microsoft-secure-portal.info,uses_domain
phishcamp-3eb856c052,https://microsoft-secure-portal.info/account/review/8542e0,delivers_url
phishcamp-ffb98a9522,xn--rnicrosoft-3bh.com,uses_domain
phishcamp-ffb98a9522,https://xn--rnicrosoft-3bh.com/auth/session/review,delivers_url
phishcamp-f4653605d7,xn--googl-fsa.net,uses_domain
phishcamp-f4653605d7,https://xn--googl-fsa.net/portal/update,delivers_url
phishcamp-ffb98a9522,paypal-support.info,uses_domain
phishcamp-ffb98a9522,https://paypal-support.info/auth/session/review,delivers_url
phishcamp-94ba073465,paypal-account.support,uses_domain
phishcamp-94ba073465,https://paypal-account.support/signin,delivers_url
phishcamp-3eb856c052,micrоsoft.com,uses_domain
phishcamp-3eb856c052,https://micrоsoft.com/identity/secure,delivers_url
phishcamp-3eb856c052,xn--pple-43d.com,uses_domain
phishcamp-3eb856c052,https://xn--pple-43d.com/account/verify,delivers_url
phishcamp-3eb856c052,chase-verify.info,uses_domain
phishcamp-3eb856c052,https://chase-verify.info/account/verify,delivers_url
phishcamp-20cbc7ba00,secure-account.dropbox.verify-user.com,uses_domain
phishcamp-20cbc7ba00,https://secure-account.dropbox.verify-user.com/session/4dd7cef4,delivers_url
phishcamp-3eb856c052,secure-secure.microsoft.verify-user.com,uses_domain
phishcamp-3eb856c052,https://secure-secure.microsoft.verify-user.com/session/6d111453,delivers_url
phishcamp-94ba073465,xn--googl-fsa.net,uses_domain
phishcamp-94ba073465,https://xn--googl-fsa.net/signin,delivers_url
phishcamp-20cbc7ba00,chase-verify.support,uses_domain
phishcamp-20cbc7ba00,https://chase-verify.support/helpdesk/ticket/identity-check,delivers_url
phishcamp-20cbc7ba00,secure-account.dropbox.verify-user.com,uses_domain
phishcamp-20cbc7ba00,https://secure-account.dropbox.verify-user.com/session/a16b1f2f,delivers_url
phishcamp-20cbc7ba00,dropbox.com,uses_domain
phishcamp-20cbc7ba00,https://dropbox.com/identity/account,delivers_url
phishcamp-3eb856c052,microsoft-account.info,uses_domain
phishcamp-3eb856c052,https://microsoft-account.info/account/verify,delivers_url
phishcamp-20cbc7ba00,paypal-update.support,uses_domain
phishcamp-20cbc7ba00,https://paypal-update.support/helpdesk/ticket/identity-check,delivers_url
phishcamp-3eb856c052,micrоsoft.support,uses_domain
phishcamp-3eb856c052,https://micrоsoft.support/identity/secure,delivers_url
